,Entity,Code,Year,Share_x,Share_y
2506,Ecuador,ECU,2024,0.7,0.74
2551,Egypt,EGY,2024,0.97,0.97
2596,El Salvador,SLV,2024,0.95,0.96
2636,Equatorial Guinea,GNQ,2024,0.68,0.53
2668,Eritrea,ERI,2024,0.95,0.93
2700,Estonia,EST,2024,0.81,0.83
2744,Eswatini,SWZ,2024,0.84,0.85
2788,Ethiopia,ETH,2024,0.73,0.72
2922,Fiji,FJI,2024,0.94,0.91
2966,Finland,FIN,2024,0.91,0.94
3008,France,FRA,2024,0.96,0.95
3048,Gabon,GAB,2024,0.61,0.57
3093,Gambia,GMB,2024,0.8,0.83
3126,Georgia,GEO,2024,0.86,0.9
3170,Germany,DEU,2024,0.89,0.96
3215,Ghana,GHA,2024,0.95,0.9
3256,Greece,GRC,2024,0.95,0.91
3299,Grenada,GRD,2024,0.93,0.83
3344,Guatemala,GTM,2024,0.81,0.9
3387,Guinea,GIN,2024,0.63,0.6
3429,Guinea-Bissau,GNB,2024,0.68,0.65
3472,Guyana,GUY,2024,0.98,0.99
3515,Haiti,HTI,2024,0.6,0.77
3605,Honduras,HND,2024,0.75,0.79
3650,Hungary,HUN,2024,0.99,0.99
3692,Iceland,ISL,2024,0.94,0.97
3732,India,IND,2024,0.94,0.97
3774,Indonesia,IDN,2024,0.78,0.85
3819,Iran,IRN,2024,0.98,0.99
3864,Iraq,IRQ,2024,0.9,0.91
3906,Ireland,IRL,2024,0.92,0.9
3951,Israel,ISR,2024,0.98,0.98
3986,Italy,ITA,2024,0.94,0.95
4029,Jamaica,JAM,2024,0.99,0.94
4074,Japan,JPN,2024,0.99,0.95
4119,Jordan,JOR,2024,0.96,0.99
4152,Kazakhstan,KAZ,2024,0.98,0.93
4193,Kenya,KEN,2024,0.91,0.88
4235,Kiribati,KIR,2024,0.94,0.79
4280,Kuwait,KWT,2024,0.99,0.98
4313,Kyrgyzstan,KGZ,2024,0.85,0.96
4357,Laos,LAO,2024,0.67,0.69
4435,Latvia,LVA,2024,0.97,0.98
4478,Lebanon,LBN,2024,0.49,0.67
4523,Lesotho,LSO,2024,0.86,0.9
4549,Liberia,LBR,2024,0.83,0.82
4594,Libya,LBY,2024,0.86,0.89
4627,Lithuania,LTU,2024,0.89,0.86
4759,Luxembourg,LUX,2024,0.99,0.99
4800,Madagascar,MDG,2024,0.6,0.46
4845,Malawi,MWI,2024,0.91,0.89
4887,Malaysia,MYS,2024,0.93,0.96
4931,Maldives,MDV,2024,0.99,0.99
4971,Mali,MLI,2024,0.82,0.72
5012,Malta,MLT,2024,0.97,0.88
5049,Marshall Islands,MHL,2024,0.85,0.88
5093,Mauritania,MRT,2024,0.86,0.93
5136,Mauritius,MUS,2024,0.93,0.98
5181,Mexico,MEX,2024,0.78,0.8
5219,Micronesia (country),FSM,2024,0.76,0.81
5342,Moldova,MDA,2024,0.86,0.84
5379,Monaco,MCO,2024,0.99,0.88
5424,Mongolia,MNG,2024,0.96,0.96
5443,Montenegro,MNE,2024,0.81,0.23
5486,Morocco,MAR,2024,0.96,0.98
5530,Mozambique,MOZ,2024,0.7,0.65
5569,Myanmar,MMR,2024,0.71,0.71
5603,Namibia,NAM,2024,0.74,0.79
5631,Nauru,NRU,2024,0.99,0.98
5675,Nepal,NPL,2024,0.97,0.97
5720,Netherlands,NLD,2024,0.91,0.89
5765,New Zealand,NZL,2024,0.89,0.89
5809,Niger,NER,2024,0.86,0.81
5850,Nigeria,NGA,2024,0.67,0.57
5895,Niue,NIU,2024,0.99,0.99
5984,North Korea,PRK,2024,0.99,0.99
6016,North Macedonia,MKD,2024,0.89,0.73
6058,Norway,NOR,2024,0.97,0.96
6147,Oman,OMN,2024,0.99,0.99
6192,Pakistan,PAK,2024,0.87,0.86
6231,Palau,PLW,2024,0.97,0.96
6263,Palestine,PSE,2024,0.88,0.89
6308,Panama,PAN,2024,0.72,0.93
6350,Papua New Guinea,PNG,2024,0.42,0.44
6395,Paraguay,PRY,2024,0.8,0.9
6440,Peru,PER,2024,0.8,0.89
6483,Philippines,PHL,2024,0.71,0.8
6528,Poland,POL,2024,0.94,0.92
6573,Portugal,PRT,2024,0.99,0.99
6618,Qatar,QAT,2024,0.96,0.99
6658,Romania,ROU,2024,0.79,0.78
6691,Russia,RUS,2024,0.97,0.97
6735,Rwanda,RWA,2024,0.98,0.97
6776,Saint Kitts and Nevis,KNA,2024,0.97,0.95
6819,Saint Lucia,LCA,2024,0.99,0.83
6862,Saint Vincent and the Grenadines,VCT,2024,0.99,0.99
6905,Samoa,WSM,2024,0.85,0.85
6939,San Marino,SMR,2024,0.88,0.85
6983,Sao Tome and Principe,STP,2024,0.87,0.87
7028,Saudi Arabia,SAU,2024,0.97,0.96
7067,Senegal,SEN,2024,0.91,0.87
7100,Serbia,SRB,2024,0.95,0.84
7144,Seychelles,SYC,2024,0.94,0.97
7170,Sierra Leone,SLE,2024,0.91,0.9
7215,Singapore,SGP,2024,0.97,0.97
7246,Slovakia,SVK,2024,0.96,0.94
7279,Slovenia,SVN,2024,0.9,0.95
7318,Solomon Islands,SLB,2024,0.87,0.78
7362,Somalia,SOM,2024,0.7,0.64
7404,South Africa,ZAF,2024,0.74,0.76
7537,South Korea,KOR,2024,0.97,0.97
7551,South Sudan,SSD,2024,0.73,0.72
7637,Spain,ESP,2024,0.94,0.97
7678,Sri Lanka,LKA,2024,0.97,0.99
7722,Sudan,SDN,2024,0.39,0.46
7766,Suriname,SUR,2024,0.69,0.73
7811,Sweden,SWE,2024,0.96,0.93
7850,Switzerland,CHE,2024,0.96,0.96
7895,Syria,SYR,2024,0.73,0.81
7928,Tajikistan,TJK,2024,0.97,0.98
7973,Tanzania,TZA,2024,0.83,0.84
8014,Thailand,THA,2024,0.92,0.93
8055,Togo,TGO,2024,0.9,0.81
8099,Tonga,TON,2024,0.99,0.99
8140,Trinidad and Tobago,TTO,2024,0.92,0.96
8182,Tunisia,TUN,2024,0.97,0.96
8227,Turkey,TUR,2024,0.99,0.95
8260,Turkmenistan,TKM,2024,0.98,0.99
8302,Tuvalu,TUV,2024,0.94,0.97
8346,Uganda,UGA,2024,0.91,0.9
8379,Ukraine,UKR,2024,0.88,0.91
8424,United Arab Emirates,ARE,2024,0.96,0.98
8469,United Kingdom,GBR,2024,0.92,0.89
8514,United States,USA,2024,0.94,0.92
8604,Uruguay,URY,2024,0.94,0.97
8637,Uzbekistan,UZB,2024,0.9,0.99
8680,Vanuatu,VUT,2024,0.71,0.61
8725,Venezuela,VEN,2024,0.62,0.71
8767,Vietnam,VNM,2024,0.97,0.98
8902,World,OWID_WRL,2024,0.85,0.84
8947,Yemen,YEM,2024,0.42,0.41
8989,Zambia,ZMB,2024,0.91,0.88
9033,Zimbabwe,ZWE,2024,0.91,0.9
